time_ms, torque_y, torque_z, thrust, torque_x_sp, torque_y_sp, torque_z_sp, thrust_sp, amp_cut_in, phase_lag
1283144, -0.00018, -0.02404, 0.88440, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283154, -0.00018, -0.02404, 0.88440, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283164, -0.00018, -0.02404, 0.88440, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283174, -0.00018, -0.02404, 0.88440, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283184, -0.00017, -0.02393, 0.88721, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283194, -0.00017, -0.02393, 0.88721, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283204, -0.00017, -0.02393, 0.88721, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283214, -0.00017, -0.02393, 0.88721, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283224, -0.00017, -0.02393, 0.88721, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283234, -0.00017, -0.02393, 0.88721, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283244, -0.00017, -0.02393, 0.88721, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283254, -0.00017, -0.02393, 0.88721, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283264, -0.00017, -0.02393, 0.88721, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283274, -0.00017, -0.02393, 0.88721, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283285, -0.00019, -0.02385, 0.88755, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283295, -0.00019, -0.02385, 0.88755, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283305, -0.00019, -0.02385, 0.88755, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283315, -0.00019, -0.02385, 0.88755, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283325, -0.00019, -0.02385, 0.88755, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283335, -0.00019, -0.02385, 0.88755, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283345, -0.00019, -0.02385, 0.88755, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283355, -0.00019, -0.02385, 0.88755, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283365, -0.00019, -0.02385, 0.88755, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283375, -0.00019, -0.02385, 0.88755, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283385, -0.00017, -0.02371, 0.88480, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283395, -0.00017, -0.02371, 0.88480, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283405, -0.00017, -0.02371, 0.88480, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283415, -0.00017, -0.02371, 0.88480, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283425, -0.00017, -0.02371, 0.88480, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283435, -0.00017, -0.02371, 0.88480, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283445, -0.00017, -0.02371, 0.88480, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283455, -0.00017, -0.02371, 0.88480, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283465, -0.00017, -0.02371, 0.88480, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283475, -0.00017, -0.02371, 0.88480, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283485, -0.00015, -0.02354, 0.88066, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
1283495, -0.00015, -0.02354, 0.88066, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.00000
